-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     180.244us         0.19%      22.423ms     896.933us           0 b           0 b     470.58 Mb           0 b            25  
                                aten::native_layer_norm         0.02%       2.609ms         0.19%      22.243ms     889.724us           0 b           0 b     470.58 Mb           0 b            25  
                                            aten::empty         1.24%     147.017ms         1.31%     155.095ms       7.873us      18.31 Gb      18.31 Gb     191.54 Gb     191.54 Gb         19699  
                                       cudaLaunchKernel        45.51%        5.408s        45.51%        5.408s     137.247us           0 b           0 b           0 b           0 b         39403  
                                             aten::view         0.02%       1.822ms         0.02%       1.822ms       3.773us           0 b           0 b           0 b           0 b           483  
                                           aten::linear         0.02%       1.981ms         2.82%     335.709ms       2.752ms           0 b           0 b       1.74 Gb           0 b           122  
                                               aten::to         0.01%       1.074ms         1.82%     215.809ms     303.529us      18.75 Mb           0 b       2.45 Gb           0 b           711  
                                         aten::_to_copy         0.04%       4.672ms         1.81%     214.735ms     476.131us      18.75 Mb           0 b       2.45 Gb           0 b           451  
                                    aten::empty_strided         0.06%       6.965ms         0.21%      25.282ms      32.663us      18.75 Mb      18.75 Mb       4.31 Gb       4.31 Gb           774  
                                            aten::copy_         1.22%     144.498ms        11.68%        1.389s      69.969us           0 b           0 b           0 b           0 b         19846  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.884s
